β,m,L,T,nsrc,ncfg,name,tmin,tmax
5.4,-0.89,8,30,4,100,Scattering_I2_SU(3)_beta5.400_m1-0.890_m2-0.890_T30_L8_logfile.hdf5,5,14
5.4,-0.89,10,30,4,101,Scattering_I2_SU(3)_beta5.400_m1-0.890_m2-0.890_T30_L10_logfile.hdf5,3,15
5.4,-0.89,12,30,4,113,Scattering_I2_SU(3)_beta5.400_m1-0.890_m2-0.890_T30_L12_logfile.hdf5,4,15
5.4,-0.89,14,30,4,87,Scattering_I2_SU(3)_beta5.400_m1-0.890_m2-0.890_T30_L14_logfile.hdf5,3,15
6.9,-0.924,24,32,16,492,Scattering_I2_SP(4)_beta6.900_m1-0.924_m2-0.924_T32_L24_logfile.hdf5,3,15
6.9,-0.92,12,24,4,63,Scattering_I2_SP(4)_beta6.900_m1-0.920_m2-0.920_T24_L12_logfile.hdf5,3,12
6.9,-0.92,14,24,4,550,Scattering_I2_SP(4)_beta6.900_m1-0.920_m2-0.920_T24_L14_logfile.hdf5,3,12
6.9,-0.92,16,32,4,176,Scattering_I2_SP(4)_beta6.900_m1-0.920_m2-0.920_T32_L16_logfile.hdf5,3,15
6.9,-0.92,24,32,16,467,Scattering_I2_SP(4)_beta6.900_m1-0.920_m2-0.920_T32_L24_logfile.hdf5,3,15
6.9,-0.91,12,24,4,1268,Scattering_I2_SP(4)_beta6.900_m1-0.910_m2-0.910_T24_L12_logfile.hdf5,3,10
6.9,-0.91,14,24,4,513,Scattering_I2_SP(4)_beta6.900_m1-0.910_m2-0.910_T24_L14_logfile.hdf5,3,11
6.9,-0.91,16,32,4,435,Scattering_I2_SP(4)_beta6.900_m1-0.910_m2-0.910_T32_L16_logfile.hdf5,3,16
6.9,-0.905,14,24,4,267,Scattering_I2_SP(4)_beta6.900_m1-0.905_m2-0.905_T24_L14_logfile.hdf5,3,12
6.9,-0.905,16,32,4,126,Scattering_I2_SP(4)_beta6.900_m1-0.905_m2-0.905_T32_L16_logfile.hdf5,3,15
6.9,-0.9,8,16,16,651,Scattering_I2_SP(4)_beta6.900_m1-0.900_m2-0.900_T16_L8_logfile.hdf5,2,8
6.9,-0.9,8,24,16,402,Scattering_I2_SP(4)_beta6.900_m1-0.900_m2-0.900_T24_L8_logfile.hdf5,2,12
6.9,-0.9,10,20,16,1273,Scattering_I2_SP(4)_beta6.900_m1-0.900_m2-0.900_T20_L10_logfile.hdf5,3,10
6.9,-0.9,12,24,16,2904,Scattering_I2_SP(4)_beta6.900_m1-0.900_m2-0.900_T24_L12_logfile.hdf5,2,12
6.9,-0.9,14,24,16,942,Scattering_I2_SP(4)_beta6.900_m1-0.900_m2-0.900_T24_L14_logfile.hdf5,2,12
6.9,-0.9,16,32,16,546,Scattering_I2_SP(4)_beta6.900_m1-0.900_m2-0.900_T32_L16_logfile.hdf5,4,16
6.9,-0.9,18,36,16,356,Scattering_I2_SP(4)_beta6.900_m1-0.900_m2-0.900_T36_L18_logfile.hdf5,4,18
6.9,-0.89,12,24,4,1019,Scattering_I2_SP(4)_beta6.900_m1-0.890_m2-0.890_T24_L12_logfile.hdf5,3,12
6.9,-0.89,14,24,4,461,Scattering_I2_SP(4)_beta6.900_m1-0.890_m2-0.890_T24_L14_logfile.hdf5,3,12
6.9,-0.87,10,20,4,976,Scattering_I2_SP(4)_beta6.900_m1-0.870_m2-0.870_T20_L10_logfile.hdf5,2,10
6.9,-0.87,12,24,4,400,Scattering_I2_SP(4)_beta6.900_m1-0.870_m2-0.870_T24_L12_logfile.hdf5,3,11
7.05,-0.85,12,24,1,84,Scattering_I2_SP(4)_beta7.050_m1-0.850_m2-0.850_T24_L12_logfile.hdf5,5,12
7.05,-0.85,14,24,4,167,Scattering_I2_SP(4)_beta7.050_m1-0.850_m2-0.850_T24_L14_logfile.hdf5,3,12
